version	phase	path	sha256
20170209184350	main	db/migrate/20170209184350_add_reply_to_statuses.rb	0a0ed2a36b42adb73a2140c11edb47e31aad52eca4a6a29c94fcabbf05fa3a05
20170214110202	main	db/migrate/20170214110202_create_reports.rb	89b5ce4232a9fab130cfeab15f3ac9c830fb36578ea6c1ab3cfa18db1f5886c6
20170217012631	main	db/migrate/20170217012631_add_reblog_of_id_foreign_key_to_statuses.rb	1a3889e3d24266a2307a2df506a35ad88c8f2dca3ca8413b8bd36b8a1d1571d3
20170301222600	main	db/migrate/20170301222600_create_mutes.rb	0b08d064a98fc73054d6780376d2050e3ef17c76443efef06a2322f9660d2393
20170303212857	main	db/migrate/20170303212857_add_last_emailed_at_to_users.rb	187a7467a40b731bcde34a84764dcbea788f75c914da27a96dd8839536edca63
20170304202101	main	db/migrate/20170304202101_add_type_to_media_attachments.rb	7c9bcec328d71cbcd72f4aff07876cf2fb4aa1876f120f90402cfcf9d0c5aebe
20170317193015	main	db/migrate/20170317193015_add_search_index_to_accounts.rb	43a5a0ad9a0133bee6c7d604b88d5ca7f4c8d7162a49de95c07f99b034a9219a
20170318214217	main	db/migrate/20170318214217_add_header_remote_url_to_accounts.rb	45b8b1fe89a38f2d71522a11f081916335b89785e50f290634090129cd120f80
20170322021028	main	db/migrate/20170322021028_add_lowercase_index_to_accounts.rb	b4af886e0905e6fef1e7719ff2c31302c8c500ae646ceadeb189ea9541044b11
20170322143850	main	db/migrate/20170322143850_change_primary_key_to_bigint_on_statuses.rb	b9c20895a9280735108c967dcfe4e7242a66240021790070c9d97f9dcea70646
20170322162804	main	db/migrate/20170322162804_add_search_index_to_tags.rb	ee22c4ee513ad8394dfcc19e1ec96a23a9fe42f6d2469b68e89dd150699779a1
20170330021336	main	db/migrate/20170330021336_add_counter_caches.rb	6a9bcd183bd49b7548dd17bfcd7b2ce4f6e14b80c7922992a471234ee71142d6
20170330163835	main	db/migrate/20170330163835_create_imports.rb	d69c319116097c7a688c63129d02312d4c2ec105d36838bf90a55b352344a536
20170330164118	main	db/migrate/20170330164118_add_attachment_data_to_imports.rb	ea33e076818026e0d0f16930626dcb68cd968e7c581a3bf32c800c377033005d
20170403172249	main	db/migrate/20170403172249_add_action_taken_by_account_id_to_reports.rb	2be3d096c40ac765363a302df2f87ac2d92a158053aa9826227613d05c517ca7
20170405112956	main	db/migrate/20170405112956_add_index_on_mentions_status_id.rb	067538ec65bcff7f2f74d62194df4ea6fb12b04cac448971122af91fa0f5296e
20170406215816	main	db/migrate/20170406215816_add_notifications_and_favourites_indices.rb	8eb231ef99c361112ed842222aabb11d69cd70083c47c2e76a39d61142d2f084
